                                                                                   Exhibit D-1
                                                                         List of Restaurant Franchisees
                                                                            As of December 28, 2025




 State   City                Restaurant #   Address                       Zip     Phone          Franchisee Entity
 IL      Columbia            3952           122 North Veterans Parkway    62236   618-260-9155   Kidds Restaurants Inc.
 IL      Countryside         608            5321 S LaGrange Rd            60525   708-352-5400   JS Fort Group, Inc.
 IL      Crestwood           4335           13559 S Cicero Ave.           60418   708-489-6666   JS Fort Group, Inc.
 IL      Crystal Lake        473            5657 Northwest Hwy            60014   815-455-2555   JS Fort Group, Inc.
 IL      Crystal Lake        967            450 N Rte 31                  60012   815-455-5008   JS Fort Group, Inc.
 IL      Danville            4673           904 N Vermillion St           61832   217-443-6000   Subwars, LLC - Danville Series
 IL      Darien              571            2445 75th St                  60561   630-910-4580   JS Fort Group, Inc.
 IL      Decatur             1625           1910 Mt. Zion Rd              62521   217-864-9999   jTHREE, Inc.
 IL      Decatur             4462           398 West 1st Drive            62521   217-425-2755   JFOUR, Inc.
 IL      Decatur             502            154 N Merchant St             62523   217-423-8323   JFOUR, Inc.
 IL      Decatur             503            2950 N Water St               62526   217-872-8282   JFOUR, Inc.
 IL      Deerfield           533            601 Lake Cook Rd              60015   847-498-5513   JS Fort Group, Inc.
 IL      DeKalb              24             850 Pappas Dr                 60115   815-756-6004   Premium Loaves, Inc.
 IL      Des Plaines         4656           1465 Ellinwood Street         60016   847-594-0012   DES PLAINES SUBS LLC
 IL      Diamond             4242           2695 East Division Street     60416   815-655-4014   Don 2 Joes, LLC
 IL      Dixon               998            845 N Galena Rd               61021   815-285-4669   AMD32, LLC
 IL      Downers Grove       647            2321 Ogden Ave                60515   630-725-9450   JS Fort Group, Inc.
 IL      East Peoria         1220           242 W Camp St                 61611   309-699-1500   Rope & Clark JJ Development Co.
 IL      Edwardsville        588            1063 S State Rte 157          62025   618-656-5700   Kidds Restaurants Inc.
 IL      Effingham           217            401 N Keller                  62401   217-342-7296   Remy's Sandwich, LLC
 IL      Elgin               1179           400 S Randall Rd              60123   847-931-8600   Elgin Sandwich Shop Inc.
 IL      Elgin               3915           50 S Grove Ave                60120   847-888-2400   JS Fort Group, Inc.
 IL      Elgin               730            2490 Bushwood Dr              60124   847-836-0002   JS Fort Group, Inc.
 IL      Elk Grove           521            920 Elk Grove Town Center     60007   847-806-7070   JS Fort Group, Inc.
 IL      Elk Grove Village   1889           1428 Busse Rd                 60007   847-258-4151   MJVT4, Inc.
 IL      Elmhurst            1417           1035 S York Street            60126   630-834-1600   JS Fort Group, Inc.
 IL      Elmhurst            535            696 W North Ave               60126   630-833-0000   Elmhurst Sub Shop, Inc.
 IL      Elmwood Park        769            1702 N Harlem                 60707   708-453-2300   ALL A's, Inc.
 IL      Evanston            44             1729 Sherman Ave              60201   847-328-8858   EVANSTON SUBS 44 LLC
 IL      Evanston            562            1241 Chicago Ave              60202   847-425-1234   EVANSTON SUBS 562 LLC
 IL      Evergreen Park      600            9451 S Kedzie Ave             60805   708-636-6666   JS Fort Group, Inc.
 IL      Fairview Heights    420            5200 N Illinois St            62208   618-234-2400   Multipath, LLC
 IL      Forest Park         458            350 Circle Ave                60130   708-488-9070   JS Fort Group, Inc.
 IL      Fox River Grove     744            908 Northwest Highway         60021   847-516-9866   JJSA7, Inc.
 IL      Frankfort           560            20173 La Grange Rd            60423   815-469-6850   Don 2 Joes, LLC
 IL      Freeport            731            1737 S West Ave               61032   815-232-3278   DW & K
 IL      Galesburg           1369           235 E Main St                 61401   309-343-0010   JJ's of Macomb, Inc.
 IL      Geneva              433            1070 Commons Dr               60134   630-208-6060   Geneva Sub Shop Inc.
 IL      Glen Carbon         2558           3815 S State Rte 159          62034   618-288-3600   Kidds Restaurants Inc.
 IL      Glen Ellyn          187            632 Roosevelt Rd              60137   630-942-8480   JS Fort Group, Inc.
 IL      Glendale Heights    4506           2065 Bloomingdale Rd          60139   630-582-1234   Sandwiches R Us, Inc.
 IL      Glenview            391            1746 Glenview Rd              60025   847-657-7055   JS Fort Group, Inc.
 IL      Glenview            437            2863 Pfingsten Rd             60026   847-205-9930   JMA Sandwiches, Ltd.
 IL      Granite City        4507           3142 Nameoki Rd               62040   618-219-2187   LEVEY-WOODSON LLC
 IL      Grayslake           388            1152 E Washington             60030   847-223-8662   GL388, LLC
 IL      Gurnee              435            5250 Grand Ave                60031   847-775-7600   JJ Severson Affiliates Two, Inc.
 IL      Hickory Hills       1958           7604 W 95th St                60457   708-237-0600   JS Fort Group, Inc.
 IL      Highland            4047           12565 State Rte 143           62249   618-651-1365   Kidds Restaurants Inc.


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                   17

