                                                                                Exhibit D-1
                                                                      List of Restaurant Franchisees
                                                                         As of December 28, 2025




 State   City                Restaurant #   Address                    Zip     Phone          Franchisee Entity
 NE      LaVista             1000           12040 McDermott Plaza      68128   402-932-7020   Hodges Enterprises #9, LLC
 NE      Lexington           4686           1307 Plum Creek Parkway    68850   308-378-3905   Alarado Enterprises, LLC
 NE      Lincoln             106            101 N 14th                 68508   402-477-1400   BFCNE Inc.
 NE      Lincoln             1168           6891 A St                  68502   402-488-3030   Midwest JJ's #4, LLC
 NE      Lincoln             1354           2701 King Ln               68521   402-466-0000   BFCNE Inc.
 NE      Lincoln             1362           1541 N 86th St             68505   402-488-3040   Midwest JJ's #5, LLC
 NE      Lincoln             841            841 N 48th St              68504   402-464-1800   BFCNE Inc.
 NE      Lincoln             852            1631 Pine Lake Rd          68512   402-421-2215   Midwest JJ's #3, LLC
 NE      Lincoln             853            8550 Andermatt Dr          68526   402-421-3575   Midwest JJ's #2, LLC
 NE      Lincoln             952            3241 Pioneers Blvd         68502   402-488-3313   Midwest JJ's, LLC
 NE      McCook              4269           109 West 5th Street        69001   308-777-2528   Alarado Enterprises, LLC
 NE      Norfolk             1043           500 S 13th                 68701   402-379-4400   Nixsam, Inc
 NE      North Platte        1205           410 E Leota St             69101   308-532-8000   JCA Brands LLC
 NE      Omaha               1002           9909 Redick Cir            68122   402-504-1273   Atlas East, Inc.
 NE      Omaha               1068           14513 W Maple Rd           68116   402-614-4888   Hodges Enterprises #8, LLC
 NE      Omaha               1134           3309 Oak View Dr           68144   402-932-6700   DKPM Investments Corporation
 NE      Omaha               1215           589 N 155th Plaza          68154   402-932-8110   Hodges Enterprises, LLC
 NE      Omaha               1216           17650 Wright St            68130   402-502-4949   Hodges Enterprises #12, LLC
 NE      Omaha               1261           2911 S 13th Ct             68108   402-933-4280   Atlas East, Inc.
 NE      Omaha               1355           7406 N 30th St             68112   402-557-6022   Atlas East, Inc.
 NE      Omaha               1735           445 N 114th St             68154   402-932-8585   Hodges Enterprises #14, LLC
 NE      Omaha               2268           3044 S 84th St             68124   402-614-2799   Hodges Enterprises #15, LLC
 NE      Omaha               2601           5202 L St                  68117   402-738-9000   Atlas East, Inc.
 NE      Omaha               3294           13939 S Plaza              68137   402-315-9953   Hodges Enterprises #16, LLC
 NE      Omaha               4315           16869 Audrey St.           68135   402-933-8450   Hodges Enterprises #2, LLC
 NE      Omaha               572            300 S 72nd St              68114   402-255-0040   Hodges Enterprises #11, LLC
 NE      Omaha               778            107 N 40th St              68131   402-614-4545   Hodges Enterprises #1, LLC
 NE      Omaha               799            1417 Farnam St             68102   402-614-1315   Atlas East, Inc.
 NE      Omaha               893            2728 N 108th St            68164   402-884-9000   Hodges Enterprises #3, LLC
 NE      Omaha               961            10720 Q. St                68127   402-614-3600   Hodges Enterprises #4, LLC
 NE      Omaha               962            8406 Park Dr               68127   402-932-3555   Hodges Enterprises #5, LLC
 NE      Omaha               965            6410 N 72nd St             68134   402-884-4776   Atlas East, Inc.
 NE      Papillion           1019           9908 S 71st St             68133   402-614-6936   Atlas East, Inc.
 NE      Papillion           1779           304 Olson Dr               68046   402-905-9690   Atlas East, Inc.
 NE      Scottsbluff         1398           3018 Ave I                 69361   308-220-0509   JCA Brands LLC
 NE      Seward              4284           132 S 5th St.              68434   531-727-2582   Nixon Restaurant and Property INC
 NE      South Sioux City    4180           904 Dakota Ave             68776   402-241-5233   CSE-South Sioux City, Inc.
 NE      Wayne               4356           106 E 7th St               68787   531-519-6739   Nixon Restaurant and Property INC
 NE      York                4211           3525 S Lincoln Ave         68467   402-362-0068   Nixon Restaurant and Property INC
 NJ      Fort Lee            4582           1430 Route 46 East         07024   201-606-0941   BMD Fort Lee LLC
 NJ      Glassboro           2515           55 Delsea Dr N             08028   856-307-0000   Delsea 2515 LLC
 NJ      Jersey City         3537           110 First St               7302    201-217-1880   BROOKLYN CALEDONIA II LLC
 NJ      Secaucus            4585           20 Meadowlands Parkway     07094   201-299-0109   Santarelli Enterpises LLC
 NM      Albuquerque         2065           401 Eubank Blvd SE         87123   505-298-8888   CJC Companies III, LLC
 NM      Albuquerque         4840           2123 Central Avenue        87106   505-387-3400   CHC MGMT 2 LLC
 NM      Farmington          2401           3060 E 20th St             87402   505-327-2100   NM 2401 LLC
 NM      Las Cruces          1912           901 E University Ave       88001   575-373-1555   Donostia LLC
 NM      Las Cruces          2757           3841 E Lohman Ave          88011   575-522-3131   Donostia LLC


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                39

