                                                                               Exhibit D-1
                                                                     List of Restaurant Franchisees
                                                                        As of December 28, 2025




 State   City                Restaurant #   Address                   Zip     Phone          Franchisee Entity
 IA      North Liberty       2101           725 Pacha Pkwy            52317   319-665-2616   AMD20, LLC
 IA      Norwalk             3281           1327 Sunset Dr            50211   515-981-1200   Merchant Investments, Inc.
 IA      Orange City         4354           1001 8th Street SE        51041   717-737-9339   Rhox Sandwiches, LLC
 IA      Oskaloosa           2366           1405 A Ave W              52577   641-569-9226   AMD3, LLC
 IA      Ottumwa             2462           1137 N Quincy Ave         52501   641-683-4000   AMD4, LLC
 IA      Pella               1631           608 Oskaloosa St          50219   641-204-0025   AMD5, LLC
 IA      Sheldon             4217           100 Crossroads Dr         51201   712-631-4277   Rhox Sandwiches, LLC
 IA      Sioux Center        4088           857 N Main Ave            51250   712-722-3278   Rhox Sandwiches, LLC
 IA      Sioux City          1132           2408 Hamilton Blvd        51104   712-224-5646   Celtic Six Enterprises, Inc.
 IA      Sioux City          3969           3120 Floyd Blvd           51108   712-560-8898   Celtic Six Enterprises, Inc.
 IA      Sioux City          872            5001 Sergeant Rd          51106   712-276-1136   Celtic Six Enterprises, Inc.
 IA      Spencer             2074           500 Grand Ave             51301   712-580-3100   JJ's @ The Lakes, Inc.
 IA      Spirit Lake         3730           1007 18th St              51360   712-336-2424   JJ's @ The Lakes, Inc.
 IA      Storm Lake          3892           319 E Milwaukee Ave       50588   712-213-2934   Rhox Sandwiches, LLC
 IA      Urbandale           1733           3928 NW Urbandale Dr      50322   515-278-4064   Merchant Investments, Inc.
 IA      Urbandale           2472           12711 Meredith Dr         50323   515-331-6634   Merchant Investments, Inc.
 IA      Waterloo            2979           703 Progress Ave          50701   319-233-7827   XSand University, LLC
 IA      Waterloo            3693           21 W Jefferson St         50701   319-888-1024   XSand Grand Crossing, LLC
 IA      Waterloo            601            1527 E San Marnan Dr      50702   319-233-4800   AMD26, LLC
 IA      Waukee              1731           105 N Warrior LnN         50263   515-987-4811   Merchant Investments, Inc.
 IA      Waukee              3284           1160 SE Ashworth Rd       50263   515-300-2500   Merchant Investments, Inc.
 IA      Waverly             2083           620 W Bremer Ave          50677   319-352-2100   XSand Investments, LLC
 IA      West Des Moines     1732           1271 8th St               50265   515-225-4892   Merchant Investments, Inc.
 IA      West Des Moines     282            5465 Mills Civic Pkwy     50266   515-440-6666   Merchant Investments, Inc.
 IA      West Des Moines     3283           180 Jordan Creek Pkwy     50266   515-225-0900   Merchant Investments, Inc.
 IA      West Des Moines     4317           1960 Grand Ave.           50265   999-999-9999   Merchant Investments, Inc.
 ID      Blackfoot           2596           1237 Pkwy Dr              83221   208-785-0111   Snake River Sub Slingers, LLC
 ID      Boise               1191           598 W Main St             83702   208-955-7250   Hodges Enterprises of Idaho #1, LLC
 ID      Boise               1568           8151 Fairview Ave         83704   208-955-0525   Hodges Enterprises of Idaho #2, LLC
 ID      Boise               1736           1590 S Vista Ave          83705   208-297-5575   Hodges Enterprises of Idaho #3, LLC
 ID      Boise               1930           7300 W State St           83714   208-577-6728   Hodges Enterprises of Idaho #4, LLC
 ID      Boise               2163           8753 W Overland Rd        83709   208-995-2656   Hodges Enterprises of Idaho #5, LLC
 ID      Boise               2784           12505 W Chinden Blvd      83713   208-322-2559   Optimum Group Inc.
 ID      Boise               3296           2789 S Broadway Ave       83706   208-576-6683   Hodges Enterprises of Idaho #7, LLC
 ID      Burley              3153           546 N Overland Ave        83318   208-647-0030   Peace, Love, and Sandwiches, Inc
 ID      Coeur d'Alene       1614           2626 N Government Way     83815   208-666-0123   BFCID, Inc.
 ID      Emmett              4158           217 W Hwy 52              83617   208-365-0626   Shave and a Hair Cut Inc.
 ID      Hayden              1647           8160 N Cornerstone Dr     83835   208-772-2700   BFCID, Inc.
 ID      Idaho Falls         1060           402 S Utah Ave            83402   208-542-0555   LNZ-I, LLC
 ID      Idaho Falls         881            3108 S 25th E             83404   208-524-0505   DeVision Enterprises, LLC
 ID      Kuna                4537           1025 N Jacksonmill Ave    83634   208-957-6450   Optimum Group Inc.
 ID      Lewiston            2756           719 21st St               83501   208-746-2863   Sumha LLC
 ID      Meridian            1286           2959 N Eagle Rd           83646   208-888-2088   Optimum Group Inc.
 ID      Meridian            1548           2951 E Overland Rd        83642   208-258-3010   Optimum Group Inc.
 ID      Meridian            2783           521 S Main St             83642   208-888-5330   Optimum Group Inc.
 ID      Meridian            4536           3731 W. Quintale Ave      83646   208-747-8800   Shave and a Hair Cut Inc.
 ID      Moscow              2290           529 S Jackson St          83843   208-883-3278   Sumha LLC
 ID      Nampa               1825           1471 N Happy Valley Rd    83687   208-465-5600   Optimum Group Inc.


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                               14

