                                                                               Exhibit D-1
                                                                     List of Restaurant Franchisees
                                                                        As of December 28, 2025




 State   City                Restaurant #   Address                    Zip     Phone          Franchisee Entity
 AR      Lowell              4750           898 W Monroe Ave           72745   479-408-4001   WORKMAN'S TRAVEL CENTER NO. 3 LLC
 AR      Magnolia            4159           50 Hwy 79 N                71753   870-234-7771   RRB Magnolia Ventures LLC
 AR      Mountain Home       2800           650 Market St              72653   870-580-0585   RRB Mountain Home LLC
 AR      North Little Rock   1505           4120 E McCain Blvd         72117   501-945-9501   GH Food Group Little Rock, LLC
 AR      Rogers              1839           2004 Promenade Blvd        72758   479-202-5000   jTHREE, Inc.
 AR      Siloam Springs      3548           3200 E US 412              72761   479-373-1111   jTHREE, Inc.
 AR      Springdale          805            4276 W Sunset              72762   479-927-0399   jTHREE, Inc.
 AZ      Avondale            1762           10110 W McDowell Rd        85392   623-643-9380   Atlas NGC, Inc.
 AZ      Buckeye             3635           818 S Watson Rd            85326   623-386-1442   Atlas NGC, Inc.
 AZ      Buckeye             4378           19550 W Indian School Rd 85396     623-248-4693   Walters Boys LLC
 AZ      Buckeye             4678           1045 N. Verrado Way        85326   623-294-3622   Walters Boys LLC
 AZ      Bullhead City       3092           3701 Hwy 95                86442   928-704-0222   PBJ Subs 003 LLC
 AZ      Casa Grande         2133           1321 E Florence Blvd       85122   520-836-6060   T&M Brothers CG Management LLC
 AZ      Cave Creek          4461           4935 E. Carefree Hwy       85331   480-437-2389   Irusta Group, LLC
 AZ      Chandler            1521           800 N 54th St              85226   480-785-2323   Chandler JJ, LLC
 AZ      Chandler            1522           3395 W Chandler Blvd       85226   480-722-1860   Chandler JJ, LLC
 AZ      Chandler            1739           2170 N Arizona Ave         85225   480-246-3663   B & B Phoenix, LLC
 AZ      Chandler            2130           2640 E Germann Rd          85286   480-786-4444   Bacus Foods Corp
 AZ      Chandler            2460           2960 S Alma School Rd      85286   480-917-1125   Bacus Foods Corp
 AZ      Flagstaff           4056           1020 S Milton Rd           86001   928-774-6200   GH Food Group, LLC
 AZ      Gilbert             2131           1515 N Gilbert Rd          85234   480-497-6800   Bacus Foods Corp
 AZ      Gilbert             2970           1981 E Pecos Rd            85297   480-840-3222   Bacus Foods Corp
 AZ      Glendale            1502           7708 W Bell Rd             85308   623-334-3377   Walters Boys LLC
 AZ      Glendale            1956           5890 W Thunderbird Rd      85306   602-507-4893   Atlas 0519, Inc.
 AZ      Glendale            3094           18589 N 59th Ave           85308   602-993-1499   Walters Boys LLC
 AZ      Glendale            3962           5826 W Olive Ave           85302   623-213-8477   M&N Olive, LLC
 AZ      Goodyear            2006           13824 W McDowell Rd        85395   623-536-5194   Atlas NGC, Inc.
 AZ      Goodyear            2884           1120 N Estrella Pkwy       85338   623-932-5760   Atlas NGC, Inc.
 AZ      Kingman             2466           3411 Stockton Hill Rd      86409   928-757-7770   PBJ Subs 002 LLC
 AZ      Lake Havasu City    2739           34 Lake Havasu Ave N       86403   928-505-3278   PBJ Subs 001 LLC
 AZ      Laveen              2512           4920 W Baseline Rd         85339   602-368-4999   T&M Brothers Laveen Management, LLC
 AZ      Maricopa            4202           20320 N John Wayne Pkwy 85139      520-340-6137   T&M Brothers CG Management LLC
 AZ      Mesa                1473           350 W Baseline Rd          85210   480-776-8222   Bacus Foods Corp
 AZ      Mesa                1725           1229 S Power Rd            85206   480-751-6688   Bacus Foods Corp
 AZ      Mesa                1766           1730 W Southern Ave        85202   480-833-3332   Bacus Foods Corp
 AZ      Mesa                1997           68 E Main St               85201   480-649-5555   Bacus Foods Corp
 AZ      Mesa                2386           5229 S Power Rd            85212   480-279-2442   B & B Phoenix, LLC
 AZ      Mesa                2552           4401 E McKellips Rd        85215   480-981-3333   Bacus Foods Corp
 AZ      Mesa                2971           1257 S Crismon Rd          85209   480-912-7300   Bacus Foods Corp
 AZ      Payson              2883           303 E Hwy 260              85541   928-474-2221   Atlas NGC, Inc.
 AZ      Peoria              1742           25101 N Lake Pleasant Pkwy 85383   623-537-2233   GH Food Group, LLC
 AZ      Peoria              3199           13875 N 83rd Ave           85381   623-773-9219   M & N T-Bird, LLC
 AZ      Phoenix             1556           1650 E Camelback Rd        85016   602-264-1745   Atlas 0519, Inc.
 AZ      Phoenix             1635           11 W Washington St         85003   602-688-8170   Atlas 0519, Inc.
 AZ      Phoenix             1695           4716 E Cactus Rd           85032   602-710-2281   Atlas 0519, Inc.
 AZ      Phoenix             1696           2805 W Agua Fria Fwy       85027   623-565-5964   Atlas 0519, Inc.
 AZ      Phoenix             1955           3317 E Bell Rd             85032   602-707-6230   Atlas 0519, Inc.
 AZ      Phoenix             1957           2814 N 44th St             85008   602-396-7443   Atlas 0519, Inc.


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                               2

