                                                                                    Exhibit D-1
                                                                          List of Restaurant Franchisees
                                                                             As of December 28, 2025




 State   City                Restaurant #   Address                        Zip     Phone          Franchisee Entity
 MI      Monroe              3475           955 S Monroe St                48161   734-241-1500   AVJ Group, LLC
 MI      Monroe              520            2237 Telegraph                 48162   734-240-0155   Baiport Enterprises, LLC.
 MI      Mt Pleasant         4333           2013 S Mission St              48858   989-775-3844   Phoenix Enterprises II, Inc
 MI      Mt. Pleasant        658            117 E Broadway St              48858   989-773-4444   Phoenix Enterprises II, Inc
 MI      Muskegon            2922           1863 E Apple Ave               49442   231-773-0168   MVK Apple, LLC
 MI      New Baltimore       1974           35100 23 Mile Rd               48047   586-716-2600   Tohme Brothers LIV LLC
 MI      New Hudson          2483           30749 Milford Rd               48165   248-486-2900   Tohme Brothers XVIII, LLC
 MI      Niles               1492           1260 S 11th St                 49120   269-683-2200   Stolerrific, LLC
 MI      Northville          2780           39825 Traditions Dr            48168   248-380-1380   Diya Sandwich Traditions, LLC
 MI      Norton Shores       810            3445 Henry St                  49441   231-737-1100   MVK Management, Inc.
 MI      Novi                396            39601 Grand River Avenue       48375   248-442-9872   Tohme Brothers, LLC
 MI      Novi                543            31204 Beck Rd                  48376   248-624-9620   Tohme Brothers II, LLC
 MI      Owosso              1383           1018 E Main St                 48867   989-725-7200   JJRESST, LLC
 MI      Oxford              871            1530 S Lapeer Rd               48371   248-628-0983   Integra Holdings Corp.
 MI      Paw Paw             4212           821 S Kalamazoo St             49079   269-415-3112   CBD Subs, LLC
 MI      Plainwell           2887           1255 M-89                      49080   269-204-6365   Diya Sandwich Plainwell, LLC
 MI      Plymouth            364            770 Penniman Ave               48170   734-737-0770   Diya Sandwich Penniman, LLC
         Plymouth
 MI                          640            47261 5 Mile Rd                48170   734-455-5345   Tohme Brothers III, LLC
         Township
 MI      Port Huron          2419           915 24th St                    48060   810-990-8639   L&M Partners 11, LLC
 MI      Portage             2982           7503 S Westnedge               49002   269-323-7000   JJKAL Enterprises, LLC
 MI      Richmond            1836           66822 Gratiot Ave              48062   586-430-1494   JPS Enterprises - Richmond, LLC
 MI      Rochester Hills     231            1186 Walton Blvd               48307   248-651-3527   Tohme Brothers XXVI LLC
 MI      Rockford            2231           400 E Division St              49341   616-863-3330   JJ Alpine, Inc.
 MI      Romulus             3469           35351 Goddard Rd               48174   734-992-6170   Tohme Brothers XX, LLC
 MI      Roseville           766            29016 Gratiot Ave              48066   586-498-9291   LaKepzon, LLC
 MI      Royal Oak           150            413 S Main St                  48067   248-544-4696   Tohme Brothers XXV LLC
 MI      Saginaw             33             118 S Michigan Ave             48602   989-791-9000   L&M Partners #4, LLC
 MI      Saginaw             3516           4480 Bay Rd                    48603   989-249-9000   SAGRESST, LLC
 MI      Saginaw             4129           5580 State St                  48603   989-401-6665   Sagresst Too, LLC
 MI      Saginaw             4527           7834 Gratiot Road              48609   989-270-1232   Maltripias, LLC
 MI      Sault Ste. Marie    2486           2200 Ashmun St                 49783   906-253-9440   CCL & M of Marquette, Inc.
 MI      Shelby Township     307            50672 Schoenherr Rd            48315   586-247-2400   American Franchise Brands, LLC
 MI      Shelby Township     3598           47456 Van Dyke                 48315   586-991-7831   American Franchise Brands, LLC
 MI      South Lyon          1097           22662 Pontiac Trl              48178   248-486-7030   Tohme Brothers IV, LLC
 MI      Southfield          246            29033 Southfield Rd            48076   248-569-0647   Tohme Brothers XXVIII LLC
 MI      Southfield          753            23255 Greenfield Rd            48075   248-552-5446   Tohme Brothers XXXVII LLC
 MI      Southfield          754            25150 Evergreen Rd             48075   248-304-1146   Tohme Brothers XXXVIII LLC
 MI      Southgate           2050           12964 Dix-Toledo Rd            48195   734-285-6410   Tohme Brothers X, LLC
 MI      St. Clair Shores    2619           31378 Harper Ave               48082   586-294-3866   KepZon, LLC
 MI      St. Clair Shores    683            23118 Harper Ave               48080   586-773-3550   J&J Restaurant Company, Inc.
 MI      St. John            4439           1825 S US Highway 27           48879   989-403-5188   L&M Partners 16, LLC
 MI      St. Joseph          755            320 State St                   49085   269-982-9980   MVK Berrien County, LLC
 MI      Sterling Heights    308            36324 Van Dyke                 48312   586-264-7777   American Franchise Brands, LLC
 MI      Sterling Heights    311            43028 Mound Rd                 48314   586-254-2100   American Franchise Brands, LLC
 MI      Stevensville        4539           4507 Red Arrow Highway         49127   269-281-7030   MVK Berrien County, LLC
 MI      Sturgis             4402           1139 South Centerville Road    49091   269-238-9771   Group 120, Inc.
 MI      Taylor              1196           10105 Telegraph Rd             48180   313-292-5777   COX III, LLC


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                    30

