                                                                                Exhibit D-1
                                                                      List of Restaurant Franchisees
                                                                         As of December 28, 2025




 State   City                Restaurant #   Address                     Zip     Phone          Franchisee Entity
 KY      Frankfort           1794           325 Versailles Rd           40601   502-848-4050   JJ Sub Management, Inc.
 KY      Frankfort           4232           930 Louisville Rd.          40601   999-999-9999   Sandwich Squad, Inc
 KY      Georgetown          1667           101 Magnolia Dr             40324   502-863-0404   JJ Sub Management, Inc.
 KY      Hebron              1285           2111 N Bend Rd              41048   859-586-0000   jNine Subs, LLC
 KY      Henderson           1827           336 Rettig Road             42420   270-248-9100   Stinler, Inc.
 KY      Highland Heights    1567           2521 Wilson Ave             41076   859-442-5555   Stinler, Inc.
 KY      Leitchfield         4534           706 South Main Street       42754   207-296-3054   PDQ Foods, LLC
 KY      Lexington           1313           3735 Palomar Centre Dr      40513   859-523-6999   Sandwich Squad, Inc
 KY      Lexington           1314           1397 W Main St              40508   859-309-2999   Sandwich Squad, Inc
 KY      Lexington           1899           2535 Nicholasville Rd       40503   859-523-6600   Sandwich Squad, Inc
 KY      Lexington           2110           547 Euclid Ave              40502   859-367-0228   Sandwich Squad, Inc
 KY      Lexington           3026           1445 Newtown Center Way 40511       859-523-1104   Sandwich Squad, Inc
 KY      Lexington           3930           105 N Mill St               40507   859-469-9830   Sandwich Squad, Inc
 KY      Lexington           3931           427 Redding Rd              40517   859-523-4185   Sandwich Squad, Inc
 KY      Lexington           4289           3636 Boston Rd.             40514   859-309-9925   Sandwich Squad, Inc
 KY      Lexington           688            397 Waller Ave              40504   859-231-0083   Sandwich Squad, Inc
 KY      Lexington           884            3130 Mapleleaf Dr           40509   859-543-1666   Sandwich Squad, Inc
 KY      Louisville          1081           976 Baxter Ave              40204   502-587-0550   83 Subs, LLC
 KY      Louisville          1231           301 E Market St             40202   502-587-7888   83 Subs, LLC
 KY      Louisville          1232           341 W Cardinal Blvd         40208   502-634-3334   83 Subs, LLC
 KY      Louisville          1474           12903 Shelbyville Rd        40243   502-384-8884   83 Subs, LLC
 KY      Louisville          1816           3507 Poplar Level Rd        40213   502-451-5888   83 Subs, LLC
 KY      Louisville          2200           4919 Brownsboro Rd          40222   502-425-2195   DPR Enterprises, LLC
 KY      Louisville          2625           10520 Westport Rd           40241   502-425-0022   83 Subs, LLC
 KY      Louisville          2695           9156 Taylorsville Rd        40299   502-491-8086   DPR Enterprises, LLC
 KY      Louisville          2696           4828 Norton Healthcare Blvd 40241   502-425-7595   DPR Enterprises, LLC
 KY      Louisville          3234           12915 Factory Ln            40245   502-241-6666   DPR Enterprises, LLC
 KY      Louisville          4387           5105 Dixie Hwy              40216   502-490-1200   83 Subs, LLC
 KY      Louisville          4614           2550 S Floyd St             40208   999-999-9999   83 Subs, LLC
 KY      Louisville          655            415 W Jefferson St          40202   502-625-7101   83 Subs, LLC
 KY      Louisville          749            3901 Dutchmans LN           40207   502-894-9393   83 Subs, LLC
 KY      Louisville          814            4000 Shelbyville Rd         40207   502-894-3331   83 Subs, LLC
 KY      Louisville          874            1321 S Hurstbourne Pkwy     40222   502-425-4515   83 Subs, LLC
 KY      Middlesboro         4288           1238 North 12th Street      40965   606-302-7377   Shoffner Family Foods, LLC
 KY      Morehead            1877           110 Flemingsburg Rd         40351   606-784-0010   JJIS, LLC
 KY      Mt. Sterling        4396           638 Northview Drive         40353   859-432-8186   Keffer-Hoffman, LLC
 KY      Murray              4546           504 N 12th St., Suite A     42071   270-323-0000   83 Subs, LLC
 KY      Nicholasville       1752           113 Bryant Dr               40356   859-881-1037   Sabourin Sandwiches, LLC
 KY      Owensboro           1828           2300 Fredrica St            42301   270-688-0235   Stinler, Inc.
 KY      Paducah             1564           414 Lone Oak Dr             42001   270-442-0011   JJ's of Kentucky, LLC
 KY      Paducah             2559           5015 Hinkleville Road       42001   270-408-7777   JJ's of Kentucky, LLC
 KY      Pikeville           3197           111 Justice Way             41501   606-437-1786   RAVAL Inc.
 KY      Richmond            3019           1074 Barnes Mill Rd         40475   859-353-8391   Keffer-Hoffman, LLC
 KY      Versailles          3999           478 Kroger Way              40383   859-251-4412   Sandwich Squad, Inc
 KY      Winchester          3346           2 Carol Rd                  40391   859-385-4187   Keffer-Hoffman, LLC
 LA      Baton Rouge         1283           3043 Perkins Rd             70808   225-382-3914   Wilkinson Restaurant Group, LLC
 LA      Baton Rouge         1559           10711 Coursey Blvd          70816   225-292-7348   WRG2, LLC
 LA      Baton Rouge         1980           201 3rd St                  70801   225-379-8500   JJ Downtown, LLC


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                25

