                                                                                     Exhibit D-1
                                                                           List of Restaurant Franchisees
                                                                              As of December 28, 2025




 State   City                Restaurant #   Address                         Zip     Phone          Franchisee Entity
 MO      Brentwood           950            1230 Strassner Dr               63144   314-962-6444   F3 Brentwood, LLC
 MO      Bridgeton           1399           11905 St. Charles Rock Rd       63044   314-770-9991   F3 Bridgeton, LLC
 MO      Bridgeton           202            13586 NW Industrial Dr          63044   314-209-0111   White Everest Investments, LLC
 MO      Cape Girardeau      4172           3465 William Street             63701   573-335-9940   Randy James, Inc.
 MO      Cape Girardeau      507            1800 Broadway                   63701   573-335-8800   Randy James, Inc.
 MO      Chesterfield        3583           1711 Clarkson Rd                63017   636-778-2540   KDM Enterprises, LLC
 MO      Clayton             4334           20 N Central Ave.               63105   314-260-9479   Randy James, Inc.
 MO      Columbia            162            1019 E Broadway                 65201   573-815-0043   MU162 LLC
 MO      Columbia            1970           5580 Bull Run Dr                65202   573-777-5566   MU1970 LLC
 MO      Columbia            230            912-A Rainforest Pkwy           65202   573-256-7600   MU230 LLC
 MO      Columbia            358            212 Corporate Lake Dr           65203   573-499-4442   MU358 LLC
 MO      Columbia            656            4008 W Broadway                 65203   573-256-1661   MU656 LLC
 MO      Creve Coeur         61             12808 Olive Blvd                63141   314-275-7011   Randy James, Inc.
 MO      Des Peres           4474           11656 Manchester Rd             63131   314-446-6999   F3 Des Peres, LLC
 MO      Ellisville          2655           15961 Manchester Rd             63011   636-220-1812   F3 Ellisville, LLC
 MO      Eureka              2173           14 Hilltop Village Center Dr    63025   636-549-3650   KDM Enterprises, LLC
 MO      Farmington          1649           1251 Maple St                   63640   573-756-3278   Big Bad D, LLC
 MO      Fenton              1125           750 Gravois Bluffs Blvd         63026   636-326-5555   Four Leaf Clover Investments, LLC
 MO      Festus              1086           1300 Veterans Pkwy              63028   636-465-0405   Randy James, Inc.
 MO      Florissant          2891           370 N Hwy 67                    63031   314-831-1000   White Palace Investments, LLC
 MO      Hannibal            2455           345 N Hwy 61                    63401   573-221-1777   Aubuchon Enterprises, Inc.
 MO      Harrisonville       4068           1601 N State Hwy Rte 291        64701   816-380-1000   Q- Train Investments, LLC
 MO      Hazelwood           1223           6064 N Lindbergh                63042   314-731-3000   White Alps Investments, LLC
 MO      Independence        3020           3601 S Noland Rd                64055   816-461-0525   J&M-1, LLC
 MO      Jackson             4122           2066 Walton Drive               63755   573-204-0677   Randy James, Inc.
 MO      Jefferson City      1250           3750 W Truman Blvd              65109   573-893-7827   Raymer Enterprises, LLC
 MO      Jefferson City      4433           511 Missouri Blvd               65101   573-681-3278   Capital City Subs, LLC
 MO      Joplin              3553           3030 S Main St                  64804   417-553-3461   jTHREE, Inc.
 MO      Joplin              931            407 A Rangeline Rd              64801   417-626-8665   jTHREE, Inc.
 MO      Kansas City         1034           3900 Broadway Blvd              64111   816-931-9600   KC1034, LLC
 MO      Kansas City         1341           9558 N McGee St                 64155   816-468-8383   KC1341 LLC
 MO      Kansas City         2218           2345 Grand Blvd                 64108   816-421-8900   KC2218, LLC
 MO      Kansas City         2219           923 Broadway Blvd               64105   816-221-0999   KC2219, LLC
 MO      Kansas City         2444           17 W 63rd St                    64113   816-612-8720   Brookside JJ LLC
 MO      Kansas City         419            4300 Roanoke                    64111   816-561-6222   KC419, LLC
 MO      Kansas City         773            8427 Wornall Rd                 64114   816-886-9977   KC773, LLC
 MO      Kansas City         964            7014 NW 83rd St                 64153   816-505-2400   KC964 LLC
 MO      Kearney             2677           801 Watson Dr                   64060   816-903-5700   J&M 2, LLC
 MO      Kirksville          1655           510 S Baltimore St              63501   660-627-5200   Aubuchon Enterprises, Inc.
 MO      Kirkwood            2016           320 S Kirkwood Rd               63122   314-833-5559   Randy James, Inc.
 MO      Lake St. Louis      2284           6299 Ronald Reagan Dr           63367   636-625-6200   Randy James, Inc.
 MO      Lebanon             3678           519 S Jefferson Ave             65536   417-991-3553   Randy James, Inc.
 MO      Lee's Summit        1004           426 SE SR-291                   64063   816-524-1306   Lee's Summit JJ's LLC
 MO      Lee's Summit        1561           695 NW Blue Pkwy                64086   816-347-0186   GH Food Group KC, LLC
 MO      Lee's Summit        3190           3680 NE Akin Dr                 64064   816-347-1997   GH Food Group KC, LLC
 MO      Liberty             1052           1910 Victory Dr                 64068   816-781-7999   Crimson Foods, LLC
 MO      Manchester          2914           28 Stonegate Center             63088   636-825-6106   KDM Enterprises, LLC
 MO      Manchester          776            14173 Manchester Rd             63011   636-527-6900   RYMO Enterprises, LLC


2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                     34

