                                                                                 Exhibit D-1
                                                                       List of Restaurant Franchisees
                                                                          As of December 28, 2025




 State   City             Restaurant #     Address                      Zip     Phone          Franchisee Entity
 CO      Denver           1141             361 E Alameda Ave            80209   303-733-2620   PEAK Subs, LLC
 CO      Denver           1550             2075 S University Blvd       80210   303-282-7300   Premium Loaves Colorado LLC
 CO      Denver           1594             9135 E Northfield Blvd       80238   720-390-4545   GH Food Group, LLC
 CO      Denver           1615             2325 E Colfax Ave            80206   303-399-4140   Premium Loaves Colorado LLC
 CO      Denver           1840             3467 W 32nd Ave              80211   303-455-2055   1840 LLC
 CO      Denver           2721             6110 E Colfax Ave            80220   303-316-4000   Kram LLC
 CO      Denver           2853             4958 Tower Rd                80249   303-353-2300   Premium Loaves Colorado LLC
 CO      Denver           3247             2030 17th St.                80202   720-356-4220   Premium Loaves Colorado LLC
 CO      Denver           545              110 16th St Mall             80202   303-623-5050   Premium Loaves Colorado LLC
 CO      Denver           673              1600 Stout St                80202   303-623-3370   Premium Loaves Colorado LLC
 CO      Denver           910              6300 E Hampden Ave           80222   303-756-4000   MR Companies, LLC
 CO      Dillon           1688             324 Dillon Ridge Way         80435   970-468-9970   CMB Entity, LLC
 CO      Durango          2779             1316 Main Ave                81301   970-259-0577   CO 2779 LLC
 CO      Englewood        1302             3001 S Broadway              80113   303-781-6111   Premium Loaves Colorado LLC
 CO      Englewood        3248             11804 E Oswego St            80112   720-728-6727   Premium Loaves Colorado LLC
 CO      Estes Park       4040             420 Steamer Dr               80517   970-586-4930   Alarado Enterprises, LLC
 CO      Evergreen        4196             29057 Hotel Way              80439   303-353-2566   CWB Enterprises, LLC
 CO      Fort Carson      2963             1515 Chiles Ave              80913   719-576-7827   GH Food Group, LLC
 CO      Fort Carson      2964             3600 Magrath Ave             80913   719-579-7827   GH Food Group, LLC
 CO      Fort Collins     1129             4515 John F. Kennedy Pkwy    80525   970-282-1600   Hynds Bros., Inc.
 CO      Fort Collins     3184             2860 E Harmony Rd            80528   970-223-7200   Hynds Bros., Inc.
 CO      Fort Collins     546              2337 S Shields St            80526   970-493-7500   Hynds Bros., Inc.
 CO      Fort Collins     641              1005 S Lemay Ave             80524   970-484-7300   Hynds Bros., Inc.
 CO      Fountain         2925             7965 Fountain Mesa Rd        80817   719-382-3050   GH Food Group, LLC
 CO      Fruita           3977             532 Raptor Rd                81521   970-639-8851   CO 3977, LLC
 CO      Glendale         1676             1140 S Colorado Blvd         80246   303-757-1080   Premium Loaves Colorado LLC
 CO      Glenwood Springs 1849             1331 Grand Ave               81601   970-230-9044   Ventures with Altitude LLC
 CO      Golden           1066             1299 Washington Ave          80401   303-278-2691   Premium Loaves Colorado LLC
 CO      Grand Junction   1147             2502 Hwy 6 and Hwy 50        81505   970-243-1752   CO 1147, LLC
 CO      Grand Junction   3230             1230 N 12th St               81501   970-549-4001   CO 3230, LLC
 CO      Greeley          1266             4629 Centerplace Dr          80634   970-339-3999   Big Oil & Gas, LLC
 CO      Greeley          4016             6925 W 10th St               80634   970-515-5330   Colorado Black Gold, LLC
 CO      Greeley          457              2644 11th Ave                80631   970-392-9999   Big Oil, LLC

 CO      Greenwood Village 1259            6570 S Yosemite St           80111   303-740-2046   Premium Loaves Colorado LLC

 CO      Greenwood Village 455             4682 S Yosemite St           80111   303-741-4100   Premium Loaves Colorado LLC

 CO      Highlands Ranch     1551          9325 Dorchester St           80129   303-470-3055   BFCCO Inc.
 CO      Highlands Ranch     3939          9567 S University Blvd       80126   303-862-5221   EAM LLC
 CO      Lakewood            1173          14710 W Colfax Ave           80401   303-278-8177   ROTHFAM HOLDINGS, LLC
 CO      Lakewood            1412          7850 W Alameda Blvd          80226   303-984-1711   1412, LLC
 CO      Lakewood            3397          3255 S Wadsworth Blvd        80227   720-541-7434   Summit Subs, LLC
 CO      Lakewood            757           7355 W Colfax Ave            80214   303-238-4424   757, LLC
 CO      Lakewood            807           12093 W Alameda Pkwy         80228   720-502-5035   Premium Loaves Colorado LLC
 CO      Littleton           1024          2610 W Belleview Ave         80123   303-794-1666   Premium Loaves Colorado LLC
 CO      Littleton           1494          91 W Mineral Ave             80120   303-738-1777   Premium Loaves Colorado LLC
 CO      Littleton           1968          12482 W Ken Caryl Ave        80127   720-255-2213   BFCCO Inc.
 CO      Littleton           3899          5846 S. Wadsworth Blvd       80123   303-973-7387   ROTHFAM HOLDINGS, LLC
 CO      Littleton           4406          7444 W Chatfield Avenue      80128   720-653-3310   CWB Enterprises, LLC

2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                                 6

