                                                                         Exhibit D-1
                                                               List of Restaurant Franchisees
                                                                  As of December 28, 2025




 State   City                Restaurant #   Address             Zip     Phone          Franchisee Entity
 WI      Sheboygan           1411           2155 S Onieda St    53083   920-459-9055   Cieszynski Enterprises, Inc.
 WI      Sheboygan           2125           2156 S Onieda St    53081   920-783-6335   Cieszynski Enterprises, Inc.
 WI      Sheboygan           741            2157 S Onieda St    53081   920-208-7827   Cieszynski Enterprises, Inc.
 WI      Stevens Point       1110           2158 S Onieda St    54481   715-344-8800   Miracle 58, LLC
 WI      Stoughton           1959           2159 S Onieda St    53589   608-873-7200   JSB Ventures LLC
 WI      Sturgeon Bay        3792           2160 S Onieda St    54235   920-818-1460   OTB 845, LLC
 WI      Superior            555            2161 S Onieda St    54880   715-395-4669   North Shore Subs, LLC
 WI      Tomah               4008           2162 S Onieda St    54660   608-567-0201   J & J's Venture Properties, Inc.
 WI      Verona              3609           2163 S Onieda St    53593   608-497-1831   JSB Ventures LLC
 WI      Watertown           678            2164 S Onieda St    53094   920-262-8380   JSB Ventures LLC
 WI      Waukesha            738            2165 S Onieda St    53186   262-524-8000   Premium Loaves II, Inc.
 WI      Waukesha            883            2166 S Onieda St    53188   262-446-4444   CSW Group V, LLC
 WI      Waunakee            4164           2167 S Onieda St    53597   999-999-9999   JSB Coastal LLC
 WI      Waupun              3048           2168 S Onieda St    53963   920-345-1488   Summit Gourmet Sandwiches LLC
 WI      Wausau              1162           2169 S Onieda St    54401   715-845-8585   Subs 4 U 2, LLC
 WI      Wausau              2215           2170 S Onieda St    54403   715-298-2000   JJPM, LLC
 WI      Wauwatosa           2250           2171 S Onieda St    53213   414-778-2008   Premium Loaves II, Inc.
 WI      Wauwatosa           438            2172 S Onieda St    53226   414-476-9488   Premium Loaves II, Inc.
 WI      West Allis          637            2173 S Onieda St    53227   414-541-9999   Premium Loaves II, Inc.
 WI      West Bend           708            2174 S Onieda St    53095   262-334-0100   CSW Group IV, LLC
 WI      West Milwaukee      1495           2175 S Onieda St    53214   414-383-3030   Premium Loaves II, Inc.
 WI      Weston              1575           2176 S Onieda St    54476   715-241-9988   JJ WESTON, LLC
 WI      Whitefish Bay       2340           2177 S Onieda St    53217   414-962-5555   Premium Loaves II, Inc.
 WI      Whitewater          68             2178 S Onieda St    53190   262-473-6100   JSB Ventures LLC
 WI      Wisconsin Dells     1547           2179 S Onieda St    53965   608-254-5200   JSB Ventures LLC
 WI      Wisconsin Rapids    3265           2180 S Onieda St    54494   715-421-2424   Miracle 58, LLC
 WV      Charleston          3954           2181 S Onieda St    25304   304-400-4040   LCD TEAYS VALLEY
 WV      Charleston          988            2182 S Onieda St    25301   304-720-3000   Kanawha Gourmet Sandwiches, LLC
 WV      Huntington          4694           2183 S Onieda St    25701   304-557-8200   Kanawha Gourmet Sandwiches, LLC
 WV      Inwood              4803           2184 S Onieda St    25428   304-821-4030   Inwood Sandwiches Incorporated
 WV      Martinsburg         4629           2185 S Onieda St    25403   304-350-1030   Hedgesville Sandwiches Incorporated
 WV      Morgantown          4807           2186 S Onieda St    26505   304-241-1253   JWCMSB FOOD HOLDINGS LLC
 WV      Morgantown          4816           2187 S Onieda St    26505   304-241-1298   JWCMSB FOOD HOLDINGS LLC
 WV      Parkersburg         4727           2188 S Onieda St    26101   681-229-0903   JWCMSB FOOD HOLDINGS LLC
 WV      Triadelphia         4004           2189 S Onieda St    26059   304-909-0136   MSP Sub Shops Inc.
 WY      Casper              1638           2190 S Onieda St    82609   307-472-0437   JCA Brands LLC
 WY      Cheyenne            1262           2191 S Onieda St    82001   307-635-2820   Cheyenne JJ, LLC
 WY      Cheyenne            2035           2192 S Onieda St    82001   307-638-2044   Wyoming J.J., LLC
 WY      Evanston            3534           2193 S Onieda St    82930   307-789-0333   Chavez Bros I, Inc.
 WY      Gillette            2009           2194 S Onieda St    82718   307-682-7090   CHAVEZ BROS 3, INC.
 WY      Laramie             980            2195 S Onieda St    82070   307-745-1555   JJ of U Dub, LLC
 WY      Rock Springs        2257           2196 S Onieda St    82901   307-362-1116   Chavez Bros, Inc.
 WY      Sheridan            1673           2197 S Onieda St    82801   307-675-8333   Chavez Bros 2, Inc.




2026 Jimmy John's FDD
Ex. D-1 - List of Restaurant Franchisees                         59

